GDP,IPOs,M&A_Activities,FFR_rate
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,32,395757,0.08
21903.85,14,395757,0.08
21903.85,14,395757,0.08
21903.85,14,395757,0.08
21903.85,14,395757,0.08
21903.85,14,395757,0.08
21903.85,14,395757,0.08
21903.85,14,395757,0.08
21903.85,14,395757,0.08
21903.85,14,395757,0.08
21903.85,14,395757,0.08
21903.85,14,395757,0.08
21903.85,14,395757,0.08
21903.85,14,395757,0.33
21903.85,14,395757,0.33
21903.85,14,395757,0.33
21903.85,14,395757,0.33
21903.85,14,395757,0.33
21903.85,14,395757,0.33
21903.85,14,395757,0.33
21903.85,14,395757,0.33
21903.85,14,395757,0.33
21903.85,14,395757,0.33
21903.85,14,395757,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,17,364634,0.33
21919.222,18,364634,0.33
21919.222,18,364634,0.33
21919.222,18,364634,0.33
21919.222,18,364634,0.33
21919.222,18,364634,0.83
21919.222,18,364634,0.83
21919.222,18,364634,0.83
21919.222,18,364634,0.83
21919.222,18,364634,0.83
21919.222,18,364634,0.83
21919.222,18,364634,0.83
21919.222,18,364634,0.83
21919.222,18,364634,0.83
21919.222,18,364634,0.83
21919.222,18,364634,0.83
21919.222,18,364634,0.83
21919.222,18,364634,0.83
21919.222,18,364634,0.83
21919.222,18,364634,0.83
21919.222,18,364634,0.83
21919.222,18,364634,0.83
21919.222,10,364634,0.83
21919.222,10,364634,0.83
21919.222,10,364634,0.83
21919.222,10,364634,0.83
21919.222,10,364634,0.83
21919.222,10,364634,0.83
21919.222,10,364634,0.83
21919.222,10,364634,0.83
21919.222,10,364634,0.83
21919.222,10,364634,0.83
21919.222,10,364634,0.83
21919.222,10,364634,0.83
21919.222,10,364634,1.58
21919.222,10,364634,1.58
21919.222,10,364634,1.58
21919.222,10,364634,1.58
21919.222,10,364634,1.58
21919.222,10,364634,1.58
21919.222,10,364634,1.58
21919.222,10,364634,1.58
21919.222,10,364634,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,1.58
22066.784,6,295807,2.33
22066.784,20,295807,2.32
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,20,295807,2.33
22066.784,12,295807,2.33
22066.784,12,295807,2.33
22066.784,12,295807,2.33
22066.784,12,295807,2.33
22066.784,12,295807,2.33
22066.784,12,295807,2.33
22066.784,12,295807,2.33
22066.784,12,295807,2.33
22066.784,12,295807,2.33
22066.784,12,295807,2.33
22066.784,12,295807,2.33
22066.784,12,295807,2.33
22066.784,12,295807,2.33
22066.784,12,295807,2.33
22066.784,12,295807,2.33
22066.784,12,295807,3.08
22066.784,12,295807,3.08
22066.784,12,295807,3.08
22066.784,12,295807,3.08
22066.784,12,295807,3.08
22066.784,12,295807,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,6,-309090,3.08
22249.459,5,-309090,3.08
22249.459,5,-309090,3.08
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,5,-309090,3.83
22249.459,7,-309090,3.83
22249.459,7,-309090,3.83
22249.459,7,-309090,3.83
22249.459,7,-309090,3.83
22249.459,7,-309090,3.83
22249.459,7,-309090,3.83
22249.459,7,-309090,3.83
22249.459,7,-309090,3.83
22249.459,7,-309090,3.83
22249.459,7,-309090,4.33
22249.459,7,-309090,4.33
22249.459,7,-309090,4.33
22249.459,7,-309090,4.33
22249.459,7,-309090,4.33
22249.459,7,-309090,4.33
22249.459,7,-309090,4.33
22249.459,7,-309090,4.33
22249.459,7,-309090,4.33
22249.459,7,-309090,4.33
22249.459,7,-309090,4.33
22249.459,7,-309090,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,8,199533,4.33
22403.435,17,199533,4.58
22403.435,17,199533,4.58
22403.435,17,199533,4.58
22403.435,17,199533,4.58
22403.435,17,199533,4.58
22403.435,17,199533,4.57
22403.435,17,199533,4.58
22403.435,17,199533,4.58
22403.435,17,199533,4.58
22403.435,17,199533,4.58
22403.435,17,199533,4.58
22403.435,17,199533,4.58
22403.435,17,199533,4.58
22403.435,17,199533,4.58
22403.435,17,199533,4.58
22403.435,17,199533,4.58
22403.435,17,199533,4.57
22403.435,17,199533,4.57
22403.435,17,199533,4.58
22403.435,19,199533,4.57
22403.435,19,199533,4.57
22403.435,19,199533,4.57
22403.435,19,199533,4.57
22403.435,19,199533,4.57
22403.435,19,199533,4.57
22403.435,19,199533,4.57
22403.435,19,199533,4.58
22403.435,19,199533,4.58
22403.435,19,199533,4.58
22403.435,19,199533,4.58
22403.435,19,199533,4.58
22403.435,19,199533,4.58
22403.435,19,199533,4.58
22403.435,19,199533,4.58
22403.435,19,199533,4.83
22403.435,19,199533,4.83
22403.435,19,199533,4.83
22403.435,19,199533,4.83
22403.435,19,199533,4.83
22403.435,19,199533,4.83
22403.435,19,199533,4.83
22403.435,19,199533,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,15,209246,4.83
22539.418,9,209246,4.83
22539.418,9,209246,4.83
22539.418,9,209246,4.83
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,9,209246,5.08
22539.418,11,209246,5.08
22539.418,11,209246,5.08
22539.418,11,209246,5.08
22539.418,11,209246,5.08
22539.418,11,209246,5.08
22539.418,11,209246,5.08
22539.418,11,209246,5.08
22539.418,11,209246,5.08
22539.418,11,209246,5.08
22539.418,11,209246,5.08
22539.418,11,209246,5.07
22539.418,11,209246,5.08
22539.418,11,209246,5.07
22539.418,11,209246,5.07
22539.418,11,209246,5.07
22539.418,11,209246,5.07
22539.418,11,209246,5.07
22539.418,11,209246,5.07
22539.418,11,209246,5.07
22539.418,11,209246,5.07
22539.418,11,209246,5.08
22780.933,15,270003,5.08
22780.933,15,270003,5.08
22780.933,15,270003,5.08
22780.933,15,270003,5.08
22780.933,15,270003,5.07
22780.933,15,270003,5.08
22780.933,15,270003,5.08
22780.933,15,270003,5.08
22780.933,15,270003,5.08
22780.933,15,270003,5.08
22780.933,15,270003,5.08
22780.933,15,270003,5.08
22780.933,15,270003,5.08
22780.933,15,270003,5.08
22780.933,15,270003,5.08
22780.933,15,270003,5.08
22780.933,15,270003,5.08
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,11,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22780.933,15,270003,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,12,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,15,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
22960.6,7,299822,5.33
