GDP,IPOs,M&A_Activities,FFR_rate
21571.421,40,460634,0.09
21571.421,40,460634,0.09
21571.421,40,460634,0.09
21571.421,40,460634,0.09
21571.421,40,460634,0.09
21571.421,40,460634,0.09
21571.421,40,460634,0.09
21571.421,40,460634,0.08
21571.421,40,460634,0.08
21571.421,58,460634,0.06
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21571.421,58,460634,0.08
21960.388,101,54545,0.06
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.08
21960.388,101,54545,0.07
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.08
21960.388,95,54545,0.07
21960.388,95,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.08
21960.388,66,54545,0.07
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,34,395757,0.08
21903.85,34,395757,0.08
